"malaga","0","0","0","0","0","0"
"valencia","1","2","0","0","0","0"
"barcelona","0","0","0","0","0","0"
"oviedo","1","2","14","15","15","9"
"sevilla","0","2","11","17","17","16"
"atletico","1","2","6","17","19","20"
"rayo","0","0","4","2","2","1"
"sociedad","1","1","5","17","12","9"
"celta","0","0","7","4","3","3"
"zaragoza","1","1","7","4","5","6"
"racing","0","1","8","7","6","6"
"mallorca","1","0","9","10","16","15"
"alaves","1","0","14","8","12","9"
"betis","0","2","16","8","6","7"
"valladolid","1","1","12","18","19","19"
"madrid","0","0","12","15","17","11"
"numancia","1","2","13","8","10","10"
"athletic","0","0","13","10","11","9"
"deportivo","1","1","14","1","1","1"
"malaga","1","0","13","12","15","14"
"valencia","0","2","17","9","9","5"
"barcelona","1","1","13","2","3","3"
"oviedo","0","0","14","19","17","19"
"sevilla","1","1","15","20","20","20"
"atletico","0","1","17","15","13","13"
"rayo","1","2","16","10","9","9"
"sociedad","0","0","14","18","18","19"
"celta","1","2","16","7","7","6"
"zaragoza","0","1","12","4","4","2"
"racing","1","2","13","14","16","14"
"mallorca","0","2","9","12","9","8"
"alaves","0","1","8","5","5","3"
"betis","1","2","8","17","17","17"
"valladolid","0","0","7","11","10","9"
"madrid","1","0","8","4","2","4"
"numancia","0","0","11","17","16","15"
"athletic","1","1","12","13","13","13"
"deportivo","0","0","12","1","1","1"
"zaragoza","0","0","0","0","0","0"
"osasuna","1","0","0","0","0","0"
"celta","0","0","0","0","0","0"
"rayo","1","1","12","7","3","1"
"sociedad","1","0","16","12","16","17"
"alaves","0","0","16","7","6","9"
"oviedo","1","2","19","9","12","13"
"valladolid","0","1","15","10","8","9"
"valencia","1","2","14","1","1","1"
"malaga","0","1","10","11","9","12"
"athletic","1","2","12","14","17","17"
"racing","0","2","10","19","18","18"
"deportivo","1","0","8","2","2","2"
"barcelona","0","0","10","7","6","9"
"madrid","1","0","12","1","2","3"
"mallorca","0","0","14","7","6","6"
"numancia","1","2","16","17","19","18"
"palmas","0","0","13","9","11","15"
"villarreal","1","2","15","9","10","8"
"zaragoza","1","2","13","12","11","14"
"osasuna","0","2","11","18","18","17"
"celta","1","0","8","16","16","16"
"sociedad","0","0","9","18","18","19"
"rayo","0","1","11","7","7","9"
"alaves","1","1","11","8","8","10"
"oviedo","0","1","11","16","16","16"
"valladolid","1","2","12","13","12","10"
"valencia","0","2","10","3","3","3"
"malaga","1","0","9","10","8","8"
"athletic","0","2","10","12","12","11"
"racing","1","2","9","18","19","20"
"deportivo","0","0","8","2","2","2"
"barcelona","1","1","10","5","5","5"
"madrid","0","1","10","1","1","1"
"mallorca","1","0","10","4","4","4"
"numancia","0","0","10","20","20","20"
"palmas","1","2","10","11","11","12"
"villarreal","0","0","9","8","7","7"
"zaragoza","1","2","0","0","0","0"
"betis","0","0","0","0","0","0"
"sevilla","1","0","0","0","0","0"
"madrid","0","0","15","18","16","15"
"rayo","1","2","18","19","17","13"
"valladolid","0","2","11","15","15","13"
"osasuna","1","1","11","10","10","16"
"palmas","0","0","12","15","13","16"
"tenerife","1","2","15","14","16","17"
"athletic","0","1","8","10","10","9"
"sociedad","1","0","9","18","19","20"
"alaves","0","0","14","5","4","6"
"mallorca","1","2","15","16","18","19"
"celta","0","0","12","8","6","4"
"deportivo","1","2","15","1","1","1"
"villarreal","0","1","13","9","9","9"
"valencia","1","0","11","8","7","5"
"barcelona","1","2","13","7","7","8"
"malaga","0","0","10","15","12","13"
"zaragoza","0","1","13","14","12","15"
"betis","1","1","13","8","6","4"
"sevilla","0","0","13","10","11","9"
"madrid","1","2","17","1","1","1"
"rayo","0","1","11","18","19","19"
"valladolid","1","2","12","9","10","10"
"osasuna","0","1","11","12","14","14"
"palmas","1","2","11","16","15","13"
"tenerife","0","1","11","20","20","20"
"athletic","1","2","11","6","7","6"
"sociedad","0","0","9","19","16","17"
"alaves","1","0","10","8","8","8"
"mallorca","0","0","10","16","13","14"
"celta","1","2","10","4","5","5"
"deportivo","0","0","10","3","3","3"
"villarreal","1","2","10","13","14","13"
"valencia","0","0","10","1","1","2"
"barcelona","0","0","12","5","5","4"
"malaga","1","0","12","9","8","9"
"madrid","0","0","0","0","0","0"
